index,brand,model,image_absolute_path,source_url
150,Prada Linea Rossa,PS 51QV,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\150_prada_linea_rossa_ps_51qv.jpg,https://www.opsm.com.au/glasses/prada-linea-rossa/ps-51qv/8056597968423
151,Prada Linea Rossa,PS 04QV,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\151_prada_linea_rossa_ps_04qv.jpg,https://www.opsm.com.au/glasses/prada-linea-rossa/ps-04qv/8056262225578
152,Prada Linea Rossa,PS 04PV,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\152_prada_linea_rossa_ps_04pv.jpg,https://www.opsm.com.au/glasses/prada-linea-rossa/ps-04pv/8056597881074
153,Prada Linea Rossa,PS 51PV,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\153_prada_linea_rossa_ps_51pv.jpg,https://www.opsm.com.au/glasses/prada-linea-rossa/ps-51pv/8056597881135
154,Prada Linea Rossa,PS 50QV,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\154_prada_linea_rossa_ps_50qv.jpg,https://www.opsm.com.au/glasses/prada-linea-rossa/ps-50qv/8056597968348
155,Prada Linea Rossa,PS 01RV,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\155_prada_linea_rossa_ps_01rv.jpg,https://www.opsm.com.au/glasses/prada-linea-rossa/ps-01rv/8056262318126
156,Versace,VE3383,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\156_versace_ve3383.jpg,https://www.opsm.com.au/glasses/versace/ve3383/8056262551592
157,Versace,VE1308,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\157_versace_ve1308.jpg,https://www.opsm.com.au/glasses/versace/ve1308/8056262551172
158,Versace,VE1264,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\158_versace_ve1264.jpg,https://www.opsm.com.au/glasses/versace/ve1264/8056597122511
159,Versace,VE3373U,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\159_versace_ve3373u.jpg,https://www.opsm.com.au/glasses/versace/ve3373u/8056262421604
160,Versace,VE1247,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\160_versace_ve1247.jpg,https://www.opsm.com.au/glasses/versace/ve1247/8053672754483
161,Miu Miu,MU 01XV,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\161_miu_miu_mu_01xv.jpg,https://www.opsm.com.au/glasses/miu-miu/mu-01xv/8056597981347
162,Miu Miu,MU 50XV,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\162_miu_miu_mu_50xv.jpg,https://www.opsm.com.au/glasses/miu-miu/mu-50xv/8056597980531
163,Miu Miu,MU 08XV,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\163_miu_miu_mu_08xv.jpg,https://www.opsm.com.au/glasses/miu-miu/mu-08xv/8056262144152
