brand,model,page_url,image_url,reason
Versace,VE1066,https://www.opsm.com.au/glasses/versace/ve1066/8053672432909,,no model-matching OPSM image
Versace,VE1271,https://www.opsm.com.au/glasses/versace/ve1271/8056597352789,,no model-matching OPSM image
Giorgio Armani,AR7003,https://www.opsm.com.au/glasses/giorgio-armani/ar7003/8053672164831,,no model-matching OPSM image
Giorgio Armani,AR 112MJ,https://www.opsm.com.au/glasses/giorgio-armani/ar-112mj/8056597104913,,no model-matching OPSM image
Armani Exchange,AX3021F,https://www.opsm.com.au/glasses/armani-exchange/ax3021f/8053672424256,,no model-matching OPSM image
Armani Exchange,AX3050F,https://www.opsm.com.au/glasses/armani-exchange/ax3050f/8053672872378,,no model-matching OPSM image
Armani Exchange,AX3070,https://www.opsm.com.au/glasses/armani-exchange/ax3070/7895653194052,,no model-matching OPSM image
Armani Exchange,AX3027F,https://www.opsm.com.au/glasses/armani-exchange/ax3027f/8053672510836,,no model-matching OPSM image
Coach,HC6138U,https://www.opsm.com.au/glasses/coach/hc6138u/725125030540,,no model-matching OPSM image
Coach,HC5110B,https://www.opsm.com.au/glasses/coach/hc5110b/725125125284,,no model-matching OPSM image
Coach,HC5111,https://www.opsm.com.au/glasses/coach/hc5111/725125104111,,no model-matching OPSM image
Coach,HC6089,https://www.opsm.com.au/glasses/coach/hc6089/725125983181,,no model-matching OPSM image
Polo Ralph Lauren,PH1001,https://www.opsm.com.au/glasses/polo-ralph-lauren/ph1001/8053672723793,,no model-matching OPSM image
Polo Ralph Lauren,PH2155,https://www.opsm.com.au/glasses/polo-ralph-lauren/ph2155/8053672556971,,no model-matching OPSM image
Ralph,RA7113,https://www.opsm.com.au/glasses/ralph/ra7113/8056597102902,,no model-matching OPSM image
Ralph,RA7043,https://www.opsm.com.au/glasses/ralph/ra7043/8053672148091,,no model-matching OPSM image
Ralph,RA7069,https://www.opsm.com.au/glasses/ralph/ra7069/8053672467734,,no model-matching OPSM image
